order_item_id,order_id,product_id,quantity,unit_price,discount_amount,updated_at
4001,3001,2001,1,79.99,5.0,2026-08-10 10:00:00
4002,3001,2005,2,54.25,0.0,2026-08-10 10:00:00
4003,3002,2002,1,109.5,10.0,2026-08-10 11:00:00
4004,3003,2003,1,89.0,0.0,2026-08-11 09:30:00
4005,3004,2006,1,149.99,15.0,2026-08-12 15:00:00
4006,3005,2004,1,64.75,0.0,2026-08-12 16:10:00
4007,3005,2005,1,54.25,4.25,2026-08-12 16:10:00
4008,3006,2001,1,79.99,0.0,2026-08-13 17:20:00
4009,3007,2003,2,89.0,8.0,2026-08-14 12:45:00
4010,3008,2002,1,109.5,0.0,2026-08-15 14:15:00
4011,3008,2006,1,149.99,20.0,2026-08-15 14:15:00
